"Date","Market","Component","Delmo","Segment","Price"
2017-07-28,"ERCOT ","ZONE N",2018-11-01,"pkPrice",24.123
2017-07-28,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.5686
2017-07-31,"ERCOT ","ZONE N",2018-01-01,"pkPrice",27.06569
2017-07-31,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.30532
2017-07-31,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.215195
2017-07-31,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.063375
2017-07-31,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.25328
2017-07-31,"ERCOT ","ZONE N",2018-06-01,"pkPrice",31.060835
2017-07-31,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.512559
2017-07-31,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.373454
2017-07-31,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.341278
2017-07-31,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.4449
2017-07-31,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.727
2017-07-31,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.22245
2017-08-01,"ERCOT ","ZONE N",2018-01-01,"pkPrice",26.8879
2017-08-01,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.11205
2017-08-01,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.352793
2017-08-01,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.2361
2017-08-01,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.298
2017-08-01,"ERCOT ","ZONE N",2018-06-01,"pkPrice",30.9842
2017-08-01,"ERCOT ","ZONE N",2018-07-01,"pkPrice",44.1168
2017-08-01,"ERCOT ","ZONE N",2018-08-01,"pkPrice",64.0258
2017-08-01,"ERCOT ","ZONE N",2018-09-01,"pkPrice",30.2505
2017-08-01,"ERCOT ","ZONE N",2018-10-01,"pkPrice",24.5314
2017-08-01,"ERCOT ","ZONE N",2018-11-01,"pkPrice",23.81775
2017-08-01,"ERCOT ","ZONE N",2018-12-01,"pkPrice",24.30295
2017-08-02,"ERCOT ","ZONE N",2018-01-01,"pkPrice",26.9048
2017-08-02,"ERCOT ","ZONE N",2018-02-01,"pkPrice",27.14625
2017-08-02,"ERCOT ","ZONE N",2018-03-01,"pkPrice",26.39493
2017-08-02,"ERCOT ","ZONE N",2018-04-01,"pkPrice",26.4231
2017-08-02,"ERCOT ","ZONE N",2018-05-01,"pkPrice",25.4982
2017-08-02,"ERCOT ","ZONE N",2018-06-01,"pkPrice",30.95565
2017-08-02,"ERCOT ","ZONE N",2018-07-01,"pkPrice",42.9226
