"Date","Market","Component","Delmo","Segment","Price"
2017-07-27,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.305
2017-07-27,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.246
2017-07-27,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.857
2017-07-27,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.819
2017-07-27,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.842
2017-07-27,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.866
2017-07-27,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.871
2017-07-27,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.85
2017-07-27,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.87
2017-07-27,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.918
2017-07-27,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.045
2017-07-28,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.303
2017-07-28,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.288
2017-07-28,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.232
2017-07-28,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.856
2017-07-28,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.823
2017-07-28,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.847
2017-07-28,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.871
2017-07-28,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.876
2017-07-28,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.856
2017-07-28,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.876
2017-07-28,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.924
2017-07-28,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.052
2017-07-31,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.173
2017-07-31,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.164
2017-07-31,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.119
2017-07-31,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.795
2017-07-31,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.769
2017-07-31,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.795
2017-07-31,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.821
2017-07-31,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.826
2017-07-31,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.806
2017-07-31,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.826
2017-07-31,"NYMEX ","NG    ",2018-11-01,"rtcPrice",2.876
2017-07-31,"NYMEX ","NG    ",2018-12-01,"rtcPrice",3.009
2017-08-01,"NYMEX ","NG    ",2018-01-01,"rtcPrice",3.182
2017-08-01,"NYMEX ","NG    ",2018-02-01,"rtcPrice",3.171
2017-08-01,"NYMEX ","NG    ",2018-03-01,"rtcPrice",3.127
2017-08-01,"NYMEX ","NG    ",2018-04-01,"rtcPrice",2.806
2017-08-01,"NYMEX ","NG    ",2018-05-01,"rtcPrice",2.78
2017-08-01,"NYMEX ","NG    ",2018-06-01,"rtcPrice",2.804
2017-08-01,"NYMEX ","NG    ",2018-07-01,"rtcPrice",2.828
2017-08-01,"NYMEX ","NG    ",2018-08-01,"rtcPrice",2.833
2017-08-01,"NYMEX ","NG    ",2018-09-01,"rtcPrice",2.814
2017-08-01,"NYMEX ","NG    ",2018-10-01,"rtcPrice",2.836
